Period,"February 5, 2021 10:00 AM -> April 22, 2025 11:00 AM"
,
Time,CABR Lot 1 Counter
2/5/2021 0:00,1138
2/6/2021 0:00,1740
2/7/2021 0:00,1241
2/8/2021 0:00,733
2/9/2021 0:00,483
2/10/2021 0:00,536
2/11/2021 0:00,650
2/12/2021 0:00,744
2/13/2021 0:00,1570
2/14/2021 0:00,1703
2/15/2021 0:00,1633
2/16/2021 0:00,624
2/17/2021 0:00,584
2/18/2021 0:00,591
2/19/2021 0:00,1207
2/20/2021 0:00,1617
2/21/2021 0:00,1733
2/22/2021 0:00,759
2/23/2021 0:00,736
2/24/2021 0:00,610
2/25/2021 0:00,800
2/26/2021 0:00,1011
2/27/2021 0:00,1681
2/28/2021 0:00,1676
3/1/2021 0:00,600
3/2/2021 0:00,517
3/3/2021 0:00,60
3/4/2021 0:00,481
3/5/2021 0:00,661
3/6/2021 0:00,1771
3/7/2021 0:00,1390
3/8/2021 0:00,699
3/9/2021 0:00,786
3/10/2021 0:00,543
3/11/2021 0:00,841
3/12/2021 0:00,1052
3/13/2021 0:00,1510
3/14/2021 0:00,1542
3/15/2021 0:00,416
3/16/2021 0:00,883
3/17/2021 0:00,803
3/18/2021 0:00,758
3/19/2021 0:00,992
3/20/2021 0:00,1820
3/21/2021 0:00,1815
3/22/2021 0:00,947
3/23/2021 0:00,813
3/24/2021 0:00,1167
3/25/2021 0:00,927
3/26/2021 0:00,1161
3/27/2021 0:00,1625
3/28/2021 0:00,1617
3/29/2021 0:00,1472
3/30/2021 0:00,1715
3/31/2021 0:00,1245
4/1/2021 0:00,1226
4/2/2021 0:00,1653
4/3/2021 0:00,1707
4/4/2021 0:00,1512
4/5/2021 0:00,1159
4/6/2021 0:00,1259
4/7/2021 0:00,1101
4/8/2021 0:00,1251
4/9/2021 0:00,1263
4/10/2021 0:00,1662
4/11/2021 0:00,1525
4/12/2021 0:00,661
4/13/2021 0:00,512
4/14/2021 0:00,499
4/15/2021 0:00,524
4/16/2021 0:00,901
4/17/2021 0:00,1571
4/18/2021 0:00,1379
4/19/2021 0:00,495
4/20/2021 0:00,572
4/21/2021 0:00,517
4/22/2021 0:00,664
4/23/2021 0:00,958
4/24/2021 0:00,1334
4/25/2021 0:00,1390
4/26/2021 0:00,262
4/27/2021 0:00,747
4/28/2021 0:00,482
4/29/2021 0:00,429
4/30/2021 0:00,612
5/1/2021 0:00,1779
5/2/2021 0:00,353
5/3/2021 0:00,203
5/4/2021 0:00,363
5/5/2021 0:00,21
5/6/2021 0:00,5
5/7/2021 0:00,88
5/8/2021 0:00,1752
5/9/2021 0:00,1770
5/10/2021 0:00,641
5/11/2021 0:00,468
5/12/2021 0:00,633
5/13/2021 0:00,552
5/14/2021 0:00,733
5/15/2021 0:00,1619
5/16/2021 0:00,1233
5/17/2021 0:00,521
5/18/2021 0:00,512
5/19/2021 0:00,655
5/20/2021 0:00,727
5/21/2021 0:00,1011
5/22/2021 0:00,1491
5/23/2021 0:00,1355
5/24/2021 0:00,694
5/25/2021 0:00,1087
5/26/2021 0:00,612
5/27/2021 0:00,744
5/28/2021 0:00,1265
5/29/2021 0:00,2229
5/30/2021 0:00,2331
5/31/2021 0:00,1904
6/1/2021 0:00,816
6/2/2021 0:00,641
6/3/2021 0:00,856
6/4/2021 0:00,1354
6/5/2021 0:00,2044
6/6/2021 0:00,1733
6/7/2021 0:00,833
6/8/2021 0:00,787
6/9/2021 0:00,774
6/10/2021 0:00,1306
6/11/2021 0:00,1222
6/12/2021 0:00,2108
6/13/2021 0:00,1636
6/14/2021 0:00,854
6/15/2021 0:00,591
6/16/2021 0:00,979
6/17/2021 0:00,1167
6/18/2021 0:00,1349
6/19/2021 0:00,1868
6/20/2021 0:00,1727
6/21/2021 0:00,1021
6/22/2021 0:00,731
6/23/2021 0:00,747
6/24/2021 0:00,967
6/25/2021 0:00,1191
6/26/2021 0:00,2404
6/27/2021 0:00,1732
6/28/2021 0:00,900
6/29/2021 0:00,907
6/30/2021 0:00,875
7/1/2021 0:00,886
7/2/2021 0:00,1308
7/3/2021 0:00,1589
7/4/2021 0:00,1432
7/5/2021 0:00,1101
7/6/2021 0:00,1037
7/7/2021 0:00,1167
7/8/2021 0:00,1215
7/9/2021 0:00,1617
7/10/2021 0:00,1627
7/11/2021 0:00,1810
7/12/2021 0:00,935
7/13/2021 0:00,838
7/14/2021 0:00,857
7/15/2021 0:00,788
7/16/2021 0:00,1276
7/17/2021 0:00,1508
7/18/2021 0:00,1225
7/19/2021 0:00,534
7/20/2021 0:00,569
7/21/2021 0:00,1104
7/22/2021 0:00,909
7/23/2021 0:00,1360
7/24/2021 0:00,1544
7/25/2021 0:00,1876
7/26/2021 0:00,825
7/27/2021 0:00,489
7/28/2021 0:00,462
7/29/2021 0:00,564
7/30/2021 0:00,832
7/31/2021 0:00,1223
8/1/2021 0:00,996
8/2/2021 0:00,544
8/3/2021 0:00,668
8/4/2021 0:00,824
8/5/2021 0:00,790
8/6/2021 0:00,1270
8/7/2021 0:00,2057
8/8/2021 0:00,1500
8/9/2021 0:00,1566
8/10/2021 0:00,536
8/11/2021 0:00,793
8/12/2021 0:00,436
8/13/2021 0:00,1393
8/14/2021 0:00,534
8/15/2021 0:00,291
8/16/2021 0:00,226
8/17/2021 0:00,21
8/18/2021 0:00,19
8/19/2021 0:00,503
8/20/2021 0:00,964
8/21/2021 0:00,1968
8/22/2021 0:00,1013
8/23/2021 0:00,414
8/24/2021 0:00,395
8/25/2021 0:00,556
8/26/2021 0:00,315
8/27/2021 0:00,570
8/28/2021 0:00,1241
8/29/2021 0:00,874
8/30/2021 0:00,1265
8/31/2021 0:00,1184
9/1/2021 0:00,2833
9/2/2021 0:00,1119
9/3/2021 0:00,395
9/4/2021 0:00,771
9/5/2021 0:00,3051
9/6/2021 0:00,2451
9/7/2021 0:00,2258
9/8/2021 0:00,205
9/9/2021 0:00,213
9/10/2021 0:00,201
9/11/2021 0:00,525
9/12/2021 0:00,5
9/13/2021 0:00,129
9/14/2021 0:00,543
9/15/2021 0:00,430
9/16/2021 0:00,608
9/17/2021 0:00,950
9/18/2021 0:00,15
9/19/2021 0:00,2345
9/20/2021 0:00,1385
9/21/2021 0:00,259
9/22/2021 0:00,229
9/23/2021 0:00,290
9/24/2021 0:00,315
9/25/2021 0:00,643
9/26/2021 0:00,455
9/27/2021 0:00,140
9/28/2021 0:00,277
9/29/2021 0:00,494
9/30/2021 0:00,409
10/1/2021 0:00,400
10/2/2021 0:00,791
10/3/2021 0:00,764
10/4/2021 0:00,364
10/5/2021 0:00,1133
10/6/2021 0:00,222
10/7/2021 0:00,504
10/8/2021 0:00,526
10/9/2021 0:00,1038
10/10/2021 0:00,1049
10/11/2021 0:00,500
10/12/2021 0:00,423
10/13/2021 0:00,456
10/14/2021 0:00,558
10/15/2021 0:00,598
10/16/2021 0:00,942
10/17/2021 0:00,950
10/18/2021 0:00,353
10/19/2021 0:00,596
10/20/2021 0:00,509
10/21/2021 0:00,449
10/22/2021 0:00,486
10/23/2021 0:00,1050
10/24/2021 0:00,936
10/25/2021 0:00,335
10/26/2021 0:00,325
10/27/2021 0:00,351
10/28/2021 0:00,396
10/29/2021 0:00,805
10/30/2021 0:00,764
10/31/2021 0:00,1068
11/1/2021 0:00,279
11/2/2021 0:00,277
11/3/2021 0:00,235
11/4/2021 0:00,370
11/5/2021 0:00,339
11/6/2021 0:00,912
11/7/2021 0:00,929
